unit,mean,std,n,individual_ratings
The actor in the commercial,3.7143,1.069,14,"[5, 4, 5, 4, 3, 4, 5, 4, 2, 2, 4, 4, 4, 2]"
The actor in the commercials,3.6667,0.9759,15,"[3, 3, 5, 4, 4, 2, 4, 4, 5, 4, 4, 2, 3, 5, 3]"
The actors in the commercial,4.2143,0.8018,14,"[5, 4, 5, 4, 5, 5, 5, 3, 3, 4, 5, 4, 3, 4]"
The actors in the commercials,3.4667,1.0601,15,"[4, 5, 4, 2, 3, 2, 2, 3, 3, 4, 3, 3, 4, 5, 5]"
The apartments,4.5593,0.6765,59,"[5, 5, 5, 4, 5, 5, 5, 3, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 4, 4, 5, 5, 4, 5, 5, 3, 5, 5, 4, 5, 5, 5, 5, 4, 4, 5, 5, 4, 3, 5, 4, 4, 3, 5, 5, 3, 5, 3, 5, 5, 4, 5, 5, 4]"
The argument,4.4138,0.8793,58,"[5, 5, 5, 3, 4, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 4, 3, 5, 5, 5, 5, 4, 4, 3, 5, 4, 5, 5, 4, 5, 5, 3, 5, 5, 3, 4, 5, 3, 4, 3, 5, 4, 4, 5, 1, 5, 5, 4, 5, 5, 3]"
The boxer,4.0877,0.8718,57,"[5, 5, 4, 3, 5, 4, 5, 5, 5, 5, 5, 5, 5, 4, 5, 4, 5, 5, 3, 5, 5, 3, 4, 5, 4, 4, 4, 4, 4, 3, 5, 3, 4, 3, 3, 4, 5, 3, 3, 5, 4, 3, 5, 3, 4, 3, 3, 4, 3, 5, 2, 5, 3, 4, 4, 5, 3]"
The boy with the snake,3.0,1.2403,14,"[4, 4, 3, 1, 3, 1, 2, 3, 3, 2, 3, 3, 5, 5]"
The boy with the snakes,2.6,1.3522,15,"[5, 1, 3, 5, 3, 2, 3, 1, 3, 1, 1, 4, 3, 2, 2]"
The boys with the snake,3.1333,1.1255,15,"[3, 3, 4, 2, 3, 5, 3, 2, 5, 2, 3, 3, 2, 5, 2]"
The boys with the snakes,3.2857,1.5898,14,"[5, 1, 5, 4, 5, 2, 5, 2, 3, 2, 5, 2, 1, 4]"
The bridge to the island,3.4,1.2984,15,"[5, 3, 5, 5, 1, 3, 4, 4, 3, 4, 2, 4, 4, 1, 3]"
The bridge to the islands,3.5333,0.9904,15,"[3, 3, 5, 3, 3, 5, 4, 3, 5, 3, 3, 2, 3, 5, 3]"
The bridges to the island,3.6154,1.3868,13,"[5, 5, 4, 5, 1, 5, 2, 3, 3, 5, 3, 2, 4]"
The bridges to the islands,3.3333,1.1751,15,"[4, 1, 4, 2, 4, 5, 2, 3, 3, 3, 3, 3, 3, 5, 5]"
The check from the stockbroker,3.6,0.9856,15,"[3, 3, 4, 4, 3, 5, 3, 3, 5, 3, 2, 3, 3, 5, 5]"
The check from the stockbrokers,3.2857,1.4899,14,"[4, 1, 5, 4, 5, 1, 5, 3, 2, 2, 4, 3, 2, 5]"
