unit,mean,std,n,individual_ratings
All are pollutants. How much do you agree with the following sentence: Frups are pollutants.,3.1875,1.5091,16,"[4, 3, 5, 3, 1, 5, 3, 3, 1, 1, 1, 5, 3, 5, 5, 3]"
All brists are seeds. How much do you agree with the following sentence: Brists are seeds.,4.625,0.7806,16,"[5, 3, 3, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5]"
All brists bury seeds. How much do you agree with the following sentence: Brists bury seeds.,4.625,0.857,16,"[5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 2, 5, 4, 5, 5]"
All brums are holes. How much do you agree with the following sentence: Brums are holes.,4.8125,0.3903,16,"[5, 4, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5]"
All brums dig holes. How much do you agree with the following sentence: Brums dig holes.,4.9375,0.2421,16,"[5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
All cleighs are branches. How much do you agree with the following sentence: Cleighs are branches.,4.9375,0.2421,16,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5]"
All cleighs scratch branches. How much do you agree with the following sentence: Cleighs scratch branches.,5.0,0.0,16,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
All cleks are shrubs. How much do you agree with the following sentence: Cleks are shrubs.,4.5625,0.7881,16,"[5, 3, 3, 5, 5, 5, 5, 5, 5, 3, 5, 5, 4, 5, 5, 5]"
All cleks hide in shrubs. How much do you agree with the following sentence: Cleks hide in shrubs.,4.625,0.857,16,"[5, 2, 5, 3, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5]"
All cletts are cookies. How much do you agree with the following sentence: Cletts are cookies.,4.625,0.7806,16,"[5, 3, 3, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5]"
All cletts bake cookies. How much do you agree with the following sentence: Cletts bake cookies.,4.75,0.75,16,"[5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5]"
All dusses are hills. How much do you agree with the following sentence: Dusses are hills.,4.8,0.4,15,"[5, 5, 4, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 4, 5]"
All dusses climb hills. How much do you agree with the following sentence: Dusses climb hills.,4.875,0.3307,16,"[5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 4]"
All dwors are very pretty. How much do you agree with the following sentence:Â Some dwors are very pretty.,3.8125,1.2443,96,"[4, 4, 1, 4, 5, 4, 2, 3, 5, 2, 4, 4, 5, 3, 5, 5, 5, 5, 5, 5, 5, 4, 3, 5, 4, 5, 3, 4, 4, 4, 1, 2, 4, 4, 4, 4, 5, 2, 5, 4, 4, 4, 4, 4, 5, 5, 4, 2, 2, 4, 5, 5, 4, 4, 2, 3, 5, 1, 4, 5, 4, 5, 4, 4, 4, 4, 4, 4, 1, 4, 1, 4, 1, 2, 3, 5, 5, 5, 5, 5, 5, 4, 5, 2, 3, 1, 5, 5, 4, 2, 5, 5, 5, 4, 1, 4]"
All dwours are liquid. How much do you agree with the following sentence: Dwours are liquid.,4.5,0.9354,16,"[5, 3, 2, 5, 5, 4, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5]"
All dwours turn into liquid. How much do you agree with the following sentence: Dwours turn into liquid.,4.5625,0.998,16,"[5, 2, 5, 4, 5, 5, 5, 5, 5, 5, 5, 2, 5, 5, 5, 5]"
All fabes are fish. How much do you agree with the following sentence: Fabes are fish.,5.0,0.0,16,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
