unit,mean,std,n,individual_ratings
The TA criticized the professor.,4.6667,0.5963,15,"[5, 4, 4, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 4, 5]"
The TA was criticized by the professor.,4.2857,0.6999,14,"[4, 5, 5, 5, 5, 3, 5, 4, 4, 3, 4, 5, 4, 4]"
The airplane destroyed the missile.,4.7143,0.4518,14,"[4, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 4]"
The airplane was destroyed by the missile.,4.2667,0.9286,15,"[5, 3, 4, 2, 5, 3, 5, 5, 4, 5, 5, 4, 5, 4, 5]"
The aunt followed the niece.,4.7143,0.4518,14,"[4, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 4]"
The aunt offered the brother the cake.,4.1333,1.0242,15,"[5, 4, 2, 5, 2, 3, 5, 5, 5, 4, 4, 4, 5, 4, 5]"
The aunt offered the brother to the cake.,4.0714,0.7986,14,"[4, 4, 3, 5, 5, 2, 5, 4, 4, 4, 4, 5, 4, 4]"
The aunt offered the cake the brother.,3.8,1.1662,15,"[3, 4, 5, 2, 3, 4, 5, 4, 3, 5, 5, 2, 5, 5, 2]"
The aunt offered the cake to the brother.,3.9333,1.2893,15,"[3, 4, 1, 5, 2, 5, 5, 4, 2, 5, 5, 4, 5, 4, 5]"
The aunt purchased the book.,4.2,0.8327,15,"[4, 4, 4, 5, 2, 5, 4, 3, 5, 5, 4, 4, 5, 4, 5]"
The aunt was followed by the niece.,3.7333,1.0625,15,"[3, 4, 3, 5, 4, 2, 1, 4, 5, 5, 4, 4, 4, 4, 4]"
The aunt was purchased by the book.,4.2667,0.8537,15,"[4, 5, 3, 4, 5, 4, 4, 4, 5, 5, 5, 2, 5, 5, 4]"
The ball kicked the girl.,4.5,0.6268,14,"[4, 5, 5, 5, 5, 5, 5, 5, 4, 4, 3, 5, 4, 4]"
The ball was kicked by the girl.,4.5333,0.8055,15,"[5, 4, 4, 4, 5, 2, 5, 5, 4, 5, 5, 5, 5, 5, 5]"
The blanket folded the daughter.,4.2143,1.0809,14,"[4, 5, 3, 5, 5, 5, 5, 5, 4, 4, 1, 5, 4, 4]"
The blanket was folded by the daughter.,4.5333,0.718,15,"[5, 4, 4, 5, 5, 3, 5, 5, 5, 5, 5, 3, 5, 4, 5]"
The boat sailed the uncle.,4.1333,1.0873,15,"[3, 4, 3, 5, 5, 1, 5, 4, 5, 5, 4, 4, 5, 4, 5]"
The boat was sailed by the uncle.,4.2667,0.8537,15,"[3, 5, 3, 4, 5, 5, 5, 3, 5, 5, 5, 4, 4, 5, 3]"
The book purchased the aunt.,4.2143,1.0809,14,"[4, 5, 3, 5, 5, 5, 5, 5, 4, 4, 1, 5, 4, 4]"
The book was purchased by the aunt.,4.1333,1.0242,15,"[4, 4, 3, 2, 4, 2, 5, 5, 5, 5, 5, 4, 5, 4, 5]"
The bowl broke the grandfather.,3.8667,0.9568,15,"[4, 4, 3, 4, 4, 1, 5, 4, 4, 4, 4, 3, 5, 4, 5]"
The bowl was broken by the grandfather.,4.6667,0.4714,15,"[4, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 5, 4, 4]"
The boy ate the pizza.,4.8667,0.3399,15,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 4]"
The boy handed the girl the pencil.,4.2,1.1075,15,"[5, 4, 2, 5, 2, 3, 5, 5, 5, 5, 5, 4, 5, 3, 5]"
The boy handed the girl to the pencil.,4.3077,0.8213,13,"[4, 4, 5, 5, 4, 5, 5, 2, 4, 5, 5, 4, 4]"
The boy handed the pencil the girl.,4.3333,0.5963,15,"[4, 4, 5, 4, 4, 5, 5, 4, 3, 4, 5, 4, 5, 5, 4]"
The boy handed the pencil to the girl.,4.2667,1.1813,15,"[4, 4, 1, 5, 2, 5, 5, 4, 5, 5, 5, 5, 5, 4, 5]"
The boy pushed the girl.,4.6,0.7118,15,"[5, 4, 4, 5, 5, 3, 5, 5, 5, 5, 5, 3, 5, 5, 5]"
