source,study,task,domain,subdomain,matched_on,is_fallback,n_items,n_ratings,has_individual,split_half_r
published,amouyal2024,amouyal2024_plausibility,Sentence semantics,Plausibility / coherence / discourse,plausib,0,853,17154,1,0.945
published,brysbaert2014,brysbaert2014_concreteness,Lexical: perceptual/motor,Imageability / concreteness / size,concrete,0,39954,1286344,0,
published,corenblum2025,corenblum2025_cognition,Lexical: conceptual,Conceptual / semantic,cognition,0,8367,164877,0,
published,dentella2023,dentella2023_grammaticality,Syntax,Acceptability / naturalness,grammatical,0,80,8000,1,0.985
published,devarda2023,devarda2023_predictability,Sentence semantics,Plausibility / coherence / discourse,predictab,0,1726,101400,1,0.96
published,diveica2023,diveica2023_socialness,Lexical: conceptual,Social,socialness,0,8948,233407,1,0.885
published,edwards2024,edwards2024_spelling_to_pronunciation_transparency,Form (sub-lexical),Orthography–phonology,spelling,0,23282,617233,1,0.847
published,gatti2024,gatti2024_pseudoword_valence_intuitive,Form (sub-lexical),Pseudoword,pseudoword,0,1500,45000,0,
published,gatti2024,gatti2024_pseudoword_valence_semantic_task,Form (sub-lexical),Pseudoword,pseudoword,0,500,15000,0,
published,giurgea2025,giurgea2025_motivation,Lexical: affective,Affective,motivation,0,8765,255943,1,0.859
published,green2025,green2025_aoa_reading,Lexical: conceptual,Age of acquisition,aoa,0,11074,388568,1,0.81
published,green2025,green2025_aoa_writing,Lexical: conceptual,Age of acquisition,aoa,0,11074,401860,1,0.829
published,kuperman2012,kuperman2012_age_of_acquisition,Lexical: conceptual,Age of acquisition,age of acquisition,0,31124,636147,0,
published,lancaster2020,lancaster2020_auditory,Lexical: perceptual/motor,Sensorimotor,auditory,0,39954,874369,1,0.842
published,lancaster2020,lancaster2020_foot_leg,Lexical: perceptual/motor,Sensorimotor,foot leg,0,39954,927113,1,0.828
published,lancaster2020,lancaster2020_gustatory,Lexical: perceptual/motor,Sensorimotor,gustatory,0,39954,874369,1,0.92
published,lancaster2020,lancaster2020_hand_arm,Lexical: perceptual/motor,Sensorimotor,hand arm,0,39954,927113,1,0.817
published,lancaster2020,lancaster2020_haptic,Lexical: perceptual/motor,Sensorimotor,haptic,0,39954,874369,1,0.855
published,lancaster2020,lancaster2020_head,Lexical: perceptual/motor,Sensorimotor,head,0,39954,927113,1,0.594
published,lancaster2020,lancaster2020_interoceptive,Lexical: perceptual/motor,Sensorimotor,interocept,0,39954,874369,1,0.837
published,lancaster2020,lancaster2020_mouth,Lexical: perceptual/motor,Sensorimotor,mouth,0,39954,927113,1,0.816
published,lancaster2020,lancaster2020_olfactory,Lexical: perceptual/motor,Sensorimotor,olfactory,0,39954,874369,1,0.878
published,lancaster2020,lancaster2020_torso,Lexical: perceptual/motor,Sensorimotor,torso,0,39954,927113,1,0.774
published,lancaster2020,lancaster2020_visual,Lexical: perceptual/motor,Sensorimotor,visual,0,39954,874369,1,0.773
published,muraki2023,muraki2023_concreteness,Lexical: perceptual/motor,Imageability / concreteness / size,concrete,0,66432,0,1,0.83
published,pexman2019,pexman2019_body_object_interaction,Lexical: perceptual/motor,Sensorimotor,body object,0,9349,248442,0,
published,scott2018,scott2018_age_of_acquisition,Lexical: conceptual,Age of acquisition,age of acquisition,0,5553,188476,0,
published,scott2018,scott2018_arousal,Lexical: affective,Affective,arousal,0,5553,184979,0,
